"id";"mid";"owner";"start_time"
13012;1002107;"50f7a1d80d58140037000006";"2024-06-21T13:51:50.000Z"
11689;1003093;"54d2c6ba109f7d0029000180";"2024-05-02T11:24:52.000Z"
4068;317;"50f7a1d80d58140037000006";"2020-07-14T12:46:23.000Z"
4452;317;"50f7a1d80d58140037000006";"2020-10-20T13:28:16.000Z"
4050;318;"50f7a1d80d58140037000006";"2020-07-03T11:33:16.000Z"
4082;317;"50f7a1d80d58140037000006";"2020-08-14T22:24:07.000Z"
4098;317;"50f7a1d80d58140037000006";"2020-08-16T23:39:35.000Z"
4109;317;"50f7a1d80d58140037000006";"2020-09-01T22:49:08.000Z"
4052;318;"50f7a1d80d58140037000006";"2020-07-03T12:04:05.000Z"
12366;308;"nodejswpsserver";"2024-05-24T10:05:45.000Z"
13411;1000100;"54d2c6ba109f7d0029000180";"2024-07-20T18:30:16.000Z"
13407;1003093;"554ae8abb4ec7fd017001796";"2024-07-20T16:17:34.000Z"
13401;1003096;"554ae8abb4ec7fd017001796";"2024-07-19T18:00:06.000Z"
13409;1000100;"54d2c6ba109f7d0029000180";"2024-07-20T18:23:02.000Z"
13406;1000100;"54d2c6ba109f7d0029000180";"2024-07-20T13:38:29.000Z"
13408;1003093;"54d2c6ba109f7d0029000180";"2024-07-20T18:22:40.000Z"
13426;1003093;"554ae8abb4ec7fd017001796";"2024-07-21T15:25:48.000Z"
13427;1003093;"554ae8abb4ec7fd017001796";"2024-07-22T09:56:49.000Z"
13428;1003093;"554ae8abb4ec7fd017001796";"2024-07-22T10:25:25.000Z"
16238;1003077;"50f7a1d80d58140037000006";"2024-10-29T11:39:03.000Z"
13435;1003093;"554ae8abb4ec7fd017001796";"2024-07-22T17:16:06.000Z"
16478;1000186;"50f7a1d80d58140037000006";"2024-10-31T17:29:11.000Z"
4414;309;"50f7a1d80d58140037000006";"2020-10-15T18:16:16.000Z"
12372;1003086;"54d2c6ba109f7d0029000180";"2024-05-24T10:39:50.000Z"
4415;317;"50f7a1d80d58140037000006";"2020-10-15T18:16:41.000Z"
4488;317;"50f7a1d80d58140037000006";"2020-10-22T11:02:33.000Z"
4453;317;"50f7a1d80d58140037000006";"2020-10-20T13:32:16.000Z"
11690;1003093;"317";"2024-05-02T11:25:07.000Z"
13013;1003073;"50f7a1d80d58140037000006";"2024-06-21T13:51:54.000Z"
11691;1000100;"54d2c6ba109f7d0029000180";"2024-05-02T11:25:12.000Z"
13934;378;"374";"2024-08-29T14:26:18.000Z"
11692;1003086;"54d2c6ba109f7d0029000180";"2024-05-02T11:25:20.000Z"
